station_id,name,lat,lon
0y2w3,"Sturgeon Bay CG Station, WI",44.794,-87.313
13001,NE Extension,12.0,-23.0
13002,NE Extension,21.0,-23.0
13008,Reggae,15.0,-38.0
13009,Lambada,8.0,-38.0
13010,Soul,0.0,0.0
14040,,-8.0,67.0
14041,,-8.0,55.0
14043,,-12.0,67.0
14047,,-4.0,57.0
14048,,-8.0,65.0
14049,,-12.0,65.0
15001,Gavotte,-10.0,-10.0
15002,Java,0.0,-10.0
15006,Valse,-6.0,-10.0
15007,SE Extension,-6.0,8.0
15008,,-20.0,-10.0
15009,,0.0,-3.051
1801583,"SD 1063 - 24 NM SSW of San Francisco, CA (Site of 46012)",37.356,-122.881
1801589,"SD 1073 - 24 NM SSW of San Francisco, CA (Site of 46012)",37.356,-122.881
1801593,"SD 1077 - 24 NM SSW of San Francisco, CA (Site of 46012)",37.356,-122.881
18ci3,"Michigan City CG Station, IN",41.73,-86.91
20cm4,"St. Joseph CG Station, MI",42.09,-86.49
21178,South of Shikoku,33.12,133.62
21346,"21346  380km East of Iwate, Japan",40.302,146.192
21347,"21347  320km East of Iwate, Japan",39.601,145.799
21348,"21348   350km East of Miyagi, Japan",38.816,145.595
21401,250NM Southeast of Iturup Island,42.617,152.583
21402,286NM East of Simushir Island,46.488,158.343
21413,"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",30.487,152.124
21414,"AMCHITKA - 170 NM South of Amchitka, AK",48.977,178.199
21415,"ATTU - 175 NM South of Attu, AK",50.12,171.867
21416,"KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU",48.126,163.355
21417,290NM SE of the Kuril Islands,43.192,157.142
21418,"NORTHEAST TOKYO - 450 NM NE of Tokyo, JP",38.84,148.753
21419,KURIL ISLANDS - 209NM SE of Kuril Is.,44.401,155.653
21420,SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,28.98,134.973
21595,Drifter,36.7,-132.167
21597,Drifter,32.8,155.2
21598,Drifter,31.3,152.7
21600,Drifter,40.7,154.5
21636,Drifter,31.5,127.4
21637,Drifter,29.3,141.25
21640,Drifter,28.3,135.5
21707,,25.0,136.0
21d13,"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",30.514,152.123
21d20,Adrift buoy from 21420,28.91,134.999
22101,,37.23,126.02
22102,,34.8,125.77
22103,,34.0,127.5
22104,,34.77,128.9
22105,,37.53,130.0
22106,,36.35,129.78
22107,,33.08,126.03
22108,,36.25,125.75
23001,,0.0,81.0
23003,,-2.0,81.0
23004,,0.0,90.0
23006,,4.0,90.0
23007,,8.0,90.0
23008,,12.0,90.0
23009,,15.0,90.0
23010,,-4.0,81.0
23011,,15.0,65.0
23012,,8.0,67.0
23013,,4.0,67.0
